trace_id,_Start#duration,_Start#end_time,_Start#fixedCost,_Start#occurred,_Start#resourceCost,_Start#start_time,_Start@duration,_Start@fixedCost,_Start@occurred,_Start@resourceCost,A#duration,A#end_time,A#fixedCost,A#occurred,A#resourceCost,A#start_time,A@duration,A@fixedCost,A@occurred,A@resourceCost,B#duration,B#end_time,B#fixedCost,B#occurred,B#resourceCost,B#start_time,B@duration,B@fixedCost,B@occurred,B@resourceCost,C#duration,C#end_time,C#fixedCost,C#occurred,C#resourceCost,C#start_time,C@duration,C@fixedCost,C@occurred,C@resourceCost,D#duration,D#end_time,D#fixedCost,D#occurred,D#resourceCost,D#start_time,D@duration,D@fixedCost,D@occurred,D@resourceCost,E#duration,E#end_time,E#fixedCost,E#occurred,E#resourceCost,E#start_time,E@duration,E@fixedCost,E@occurred,E@resourceCost,F#duration,F#end_time,F#fixedCost,F#occurred,F#resourceCost,F#start_time,F@duration,F@fixedCost,F@occurred,F@resourceCost,_End#duration,_End#end_time,_End#fixedCost,_End#occurred,_End#resourceCost,_End#start_time,_End@duration,_End@fixedCost,_End@occurred,_End@resourceCost,_Path,1_if_A#duration_>_515.0_then_B+C+D+E+F;,_Label
192,0.0,2023-06-22T11:40:00.000+00:00,0.0,1,0.0,2023-06-22T11:40:00.000+00:00,0.0,0.0,1.0,0.0,464.139,2023-06-22T11:47:44.139+00:00,50.0,1,25.79,2023-06-22T11:40:00.000+00:00,464.139,50.0,2.0,25.79,18.179,2023-06-22T11:48:02.318+00:00,10.0,1,1.01,2023-06-22T11:47:44.139+00:00,482.318,60.0,3.0,26.8,110.802,2023-06-22T11:49:53.120+00:00,5.0,1,6.16,2023-06-22T11:48:02.318+00:00,593.12,65.0,4.0,32.96,61.328,2023-06-22T11:50:54.448+00:00,5.0,1,3.41,2023-06-22T11:49:53.120+00:00,654.448,70.0,5.0,36.370000000000005,74.571,2023-06-22T11:52:09.019+00:00,10.0,1,4.14,2023-06-22T11:50:54.448+00:00,729.019,80.0,6.0,40.510000000000005,894.884,2023-06-22T12:07:03.903+00:00,0.0,1,49.72,2023-06-22T11:52:09.019+00:00,1623.903,80.0,7.0,90.23,0.0,2023-06-22T12:07:03.903+00:00,0.0,1,0.0,2023-06-22T12:07:03.903+00:00,1623.903,80.0,8.0,90.23,"_Start,A,B,C,D,E,F,_End",0,0.0
190,0.0,2023-06-22T11:23:20.000+00:00,0.0,1,0.0,2023-06-22T11:23:20.000+00:00,0.0,0.0,1.0,0.0,468.679,2023-06-22T11:31:08.679+00:00,50.0,1,26.04,2023-06-22T11:23:20.000+00:00,468.679,50.0,2.0,26.04,21.53,2023-06-22T11:31:30.209+00:00,10.0,1,1.2,2023-06-22T11:31:08.679+00:00,490.20899999999995,60.0,3.0,27.24,105.114,2023-06-22T11:33:15.323+00:00,5.0,1,5.84,2023-06-22T11:31:30.209+00:00,595.323,65.0,4.0,33.08,54.891,2023-06-22T11:34:10.214+00:00,5.0,1,3.05,2023-06-22T11:33:15.323+00:00,650.2139999999999,70.0,5.0,36.129999999999995,61.602,2023-06-22T11:35:11.816+00:00,10.0,1,3.42,2023-06-22T11:34:10.214+00:00,711.8159999999999,80.0,6.0,39.55,280.257,2023-06-22T11:39:52.073+00:00,0.0,1,15.57,2023-06-22T11:35:11.816+00:00,992.0729999999999,80.0,7.0,55.12,0.0,2023-06-22T11:39:52.073+00:00,0.0,1,0.0,2023-06-22T11:39:52.073+00:00,992.0729999999999,80.0,8.0,55.12,"_Start,A,B,C,D,E,F,_End",0,0.0
194,0.0,2023-06-22T11:56:40.000+00:00,0.0,1,0.0,2023-06-22T11:56:40.000+00:00,0.0,0.0,1.0,0.0,472.018,2023-06-22T12:04:32.018+00:00,50.0,1,26.22,2023-06-22T11:56:40.000+00:00,472.018,50.0,2.0,26.22,61.689,2023-06-22T12:05:33.707+00:00,10.0,1,3.43,2023-06-22T12:04:32.018+00:00,533.707,60.0,3.0,29.65,101.406,2023-06-22T12:07:15.113+00:00,5.0,1,5.63,2023-06-22T12:05:33.707+00:00,635.113,65.0,4.0,35.28,89.273,2023-06-22T12:08:44.386+00:00,5.0,1,4.96,2023-06-22T12:07:15.113+00:00,724.3860000000001,70.0,5.0,40.24,77.516,2023-06-22T12:10:01.902+00:00,10.0,1,4.31,2023-06-22T12:08:44.386+00:00,801.902,80.0,6.0,44.550000000000004,76.467,2023-06-22T12:11:18.369+00:00,0.0,1,4.25,2023-06-22T12:10:01.902+00:00,878.369,80.0,7.0,48.800000000000004,0.0,2023-06-22T12:11:18.369+00:00,0.0,1,0.0,2023-06-22T12:11:18.369+00:00,878.369,80.0,8.0,48.800000000000004,"_Start,A,B,C,D,E,F,_End",0,0.0
198,0.0,2023-06-22T12:30:00.000+00:00,0.0,1,0.0,2023-06-22T12:30:00.000+00:00,0.0,0.0,1.0,0.0,471.498,2023-06-22T12:37:51.498+00:00,50.0,1,26.19,2023-06-22T12:30:00.000+00:00,471.498,50.0,2.0,26.19,10.406,2023-06-22T12:38:01.904+00:00,10.0,1,0.58,2023-06-22T12:37:51.498+00:00,481.904,60.0,3.0,26.77,95.971,2023-06-22T12:39:37.875+00:00,5.0,1,5.33,2023-06-22T12:38:01.904+00:00,577.875,65.0,4.0,32.1,59.904,2023-06-22T12:40:37.779+00:00,5.0,1,3.33,2023-06-22T12:39:37.875+00:00,637.779,70.0,5.0,35.43,69.181,2023-06-22T12:41:46.960+00:00,10.0,1,3.84,2023-06-22T12:40:37.779+00:00,706.96,80.0,6.0,39.269999999999996,731.219,2023-06-22T12:53:58.179+00:00,0.0,1,40.62,2023-06-22T12:41:46.960+00:00,1438.179,80.0,7.0,79.88999999999999,0.0,2023-06-22T12:53:58.179+00:00,0.0,1,0.0,2023-06-22T12:53:58.179+00:00,1438.179,80.0,8.0,79.88999999999999,"_Start,A,B,C,D,E,F,_End",0,0.0
196,0.0,2023-06-22T12:13:20.000+00:00,0.0,1,0.0,2023-06-22T12:13:20.000+00:00,0.0,0.0,1.0,0.0,480.42,2023-06-22T12:21:20.420+00:00,50.0,1,26.69,2023-06-22T12:13:20.000+00:00,480.42,50.0,2.0,26.69,31.323,2023-06-22T12:21:51.743+00:00,10.0,1,1.74,2023-06-22T12:21:20.420+00:00,511.743,60.0,3.0,28.43,102.049,2023-06-22T12:23:33.792+00:00,5.0,1,5.67,2023-06-22T12:21:51.743+00:00,613.792,65.0,4.0,34.1,99.788,2023-06-22T12:25:13.580+00:00,5.0,1,5.54,2023-06-22T12:23:33.792+00:00,713.58,70.0,5.0,39.64,73.284,2023-06-22T12:26:26.864+00:00,10.0,1,4.07,2023-06-22T12:25:13.580+00:00,786.864,80.0,6.0,43.71,1455.329,2023-06-22T12:50:42.193+00:00,0.0,1,80.85,2023-06-22T12:26:26.864+00:00,2242.193,80.0,7.0,124.56,0.0,2023-06-22T12:50:42.193+00:00,0.0,1,0.0,2023-06-22T12:50:42.193+00:00,2242.193,80.0,8.0,124.56,"_Start,A,B,C,D,E,F,_End",0,0.0
299,0.0,2023-06-26T10:31:40.000+00:00,0.0,1,0.0,2023-06-26T10:31:40.000+00:00,0.0,0.0,1.0,0.0,440.979,2023-06-26T10:39:00.979+00:00,50.0,1,24.5,2023-06-26T10:31:40.000+00:00,440.979,50.0,2.0,24.5,42.034,2023-06-26T10:39:43.013+00:00,10.0,1,2.34,2023-06-26T10:39:00.979+00:00,483.013,60.0,3.0,26.84,104.939,2023-06-26T10:41:27.952+00:00,5.0,1,5.83,2023-06-26T10:39:43.013+00:00,587.952,65.0,4.0,32.67,64.344,2023-06-26T10:42:32.296+00:00,5.0,1,3.57,2023-06-26T10:41:27.952+00:00,652.296,70.0,5.0,36.24,71.127,2023-06-26T10:43:43.423+00:00,10.0,1,3.95,2023-06-26T10:42:32.296+00:00,723.423,80.0,6.0,40.190000000000005,15.994,2023-06-26T10:43:59.417+00:00,0.0,1,0.89,2023-06-26T10:43:43.423+00:00,739.417,80.0,7.0,41.080000000000005,0.0,2023-06-26T10:43:59.417+00:00,0.0,1,0.0,2023-06-26T10:43:59.417+00:00,739.417,80.0,8.0,41.080000000000005,"_Start,A,B,C,D,E,F,_End",0,0.0
298,0.0,2023-06-26T10:23:20.000+00:00,0.0,1,0.0,2023-06-26T10:23:20.000+00:00,0.0,0.0,1.0,0.0,515.049,2023-06-26T10:31:55.049+00:00,50.0,1,28.61,2023-06-26T10:23:20.000+00:00,515.049,50.0,2.0,28.61,55.611,2023-06-26T10:32:50.660+00:00,10.0,1,3.09,2023-06-26T10:31:55.049+00:00,570.66,60.0,3.0,31.7,98.717,2023-06-26T10:33:33.766000+00:00,5.0,1,5.48,2023-06-26T10:31:55.049000+00:00,669.377,65.0,4.0,37.18,86.884,2023-06-26T10:33:21.933000+00:00,5.0,1,4.83,2023-06-26T10:31:55.049000+00:00,756.261,70.0,5.0,42.01,69.221,2023-06-26T10:33:04.270000+00:00,10.0,1,3.85,2023-06-26T10:31:55.049000+00:00,825.482,80.0,6.0,45.86,843.854,2023-06-26T10:45:58.903000+00:00,0.0,1,46.88,2023-06-26T10:31:55.049000+00:00,1669.336,80.0,7.0,92.74000000000001,0.0,2023-06-26T10:45:58.903000+00:00,0.0,1,0.0,2023-06-26T10:45:58.903000+00:00,1669.336,80.0,8.0,92.74000000000001,"_Start,A,B,C,D,E,F,_End",1,1.0
181,0.0,2023-06-22T10:08:20.000+00:00,0.0,1,0.0,2023-06-22T10:08:20.000+00:00,0.0,0.0,1.0,0.0,498.073,2023-06-22T10:16:38.073+00:00,50.0,1,27.67,2023-06-22T10:08:20.000+00:00,498.073,50.0,2.0,27.67,45.931,2023-06-22T10:17:24.004+00:00,10.0,1,2.55,2023-06-22T10:16:38.073+00:00,544.004,60.0,3.0,30.220000000000002,104.882,2023-06-22T10:19:08.886+00:00,5.0,1,5.83,2023-06-22T10:17:24.004+00:00,648.886,65.0,4.0,36.050000000000004,99.579,2023-06-22T10:20:48.465+00:00,5.0,1,5.53,2023-06-22T10:19:08.886+00:00,748.4649999999999,70.0,5.0,41.580000000000005,85.443,2023-06-22T10:22:13.908+00:00,10.0,1,4.75,2023-06-22T10:20:48.465+00:00,833.9079999999999,80.0,6.0,46.330000000000005,170.144,2023-06-22T10:25:04.052+00:00,0.0,1,9.45,2023-06-22T10:22:13.908+00:00,1004.0519999999999,80.0,7.0,55.78,0.0,2023-06-22T10:25:04.052+00:00,0.0,1,0.0,2023-06-22T10:25:04.052+00:00,1004.0519999999999,80.0,8.0,55.78,"_Start,A,B,C,D,E,F,_End",0,0.0
26,0.0,2023-06-19T12:36:40.000+00:00,0.0,1,0.0,2023-06-19T12:36:40.000+00:00,0.0,0.0,1.0,0.0,484.212,2023-06-19T12:44:44.212+00:00,50.0,1,26.9,2023-06-19T12:36:40.000+00:00,484.212,50.0,2.0,26.9,11.463,2023-06-19T12:44:55.675+00:00,10.0,1,0.64,2023-06-19T12:44:44.212+00:00,495.675,60.0,3.0,27.54,98.992,2023-06-19T12:46:34.667+00:00,5.0,1,5.5,2023-06-19T12:44:55.675+00:00,594.667,65.0,4.0,33.04,65.909,2023-06-19T12:47:40.576+00:00,5.0,1,3.66,2023-06-19T12:46:34.667+00:00,660.576,70.0,5.0,36.7,78.059,2023-06-19T12:48:58.635+00:00,10.0,1,4.34,2023-06-19T12:47:40.576+00:00,738.635,80.0,6.0,41.040000000000006,163.334,2023-06-19T12:51:41.969+00:00,0.0,1,9.07,2023-06-19T12:48:58.635+00:00,901.969,80.0,7.0,50.11000000000001,0.0,2023-06-19T12:51:41.969+00:00,0.0,1,0.0,2023-06-19T12:51:41.969+00:00,901.969,80.0,8.0,50.11000000000001,"_Start,A,B,C,D,E,F,_End",0,0.0
180,0.0,2023-06-22T10:00:00.000+00:00,0.0,1,0.0,2023-06-22T10:00:00.000+00:00,0.0,0.0,1.0,0.0,463.497,2023-06-22T10:07:43.497+00:00,50.0,1,25.75,2023-06-22T10:00:00.000+00:00,463.497,50.0,2.0,25.75,9.406,2023-06-22T10:07:52.903+00:00,10.0,1,0.52,2023-06-22T10:07:43.497+00:00,472.903,60.0,3.0,26.27,96.467,2023-06-22T10:09:29.370+00:00,5.0,1,5.36,2023-06-22T10:07:52.903+00:00,569.37,65.0,4.0,31.63,54.853,2023-06-22T10:10:24.223+00:00,5.0,1,3.05,2023-06-22T10:09:29.370+00:00,624.223,70.0,5.0,34.68,62.678,2023-06-22T10:11:26.901+00:00,10.0,1,3.48,2023-06-22T10:10:24.223+00:00,686.901,80.0,6.0,38.16,41.489,2023-06-22T10:12:08.390+00:00,0.0,1,2.3,2023-06-22T10:11:26.901+00:00,728.39,80.0,7.0,40.459999999999994,0.0,2023-06-22T10:12:08.390+00:00,0.0,1,0.0,2023-06-22T10:12:08.390+00:00,728.39,80.0,8.0,40.459999999999994,"_Start,A,B,C,D,E,F,_End",0,0.0
