trace_id,_Start#duration,_Start#end_time,_Start#fixedCost,_Start#occurred,_Start#resourceCost,_Start#start_time,_Start@duration,_Start@fixedCost,_Start@occurred,_Start@resourceCost,A#duration,A#end_time,A#fixedCost,A#occurred,A#resourceCost,A#start_time,A@duration,A@fixedCost,A@occurred,A@resourceCost,B#duration,B#end_time,B#fixedCost,B#occurred,B#resourceCost,B#start_time,B@duration,B@fixedCost,B@occurred,B@resourceCost,C#duration,C#end_time,C#fixedCost,C#occurred,C#resourceCost,C#start_time,C@duration,C@fixedCost,C@occurred,C@resourceCost,D#duration,D#end_time,D#fixedCost,D#occurred,D#resourceCost,D#start_time,D@duration,D@fixedCost,D@occurred,D@resourceCost,E#duration,E#end_time,E#fixedCost,E#occurred,E#resourceCost,E#start_time,E@duration,E@fixedCost,E@occurred,E@resourceCost,F#duration,F#end_time,F#fixedCost,F#occurred,F#resourceCost,F#start_time,F@duration,F@fixedCost,F@occurred,F@resourceCost,_End#duration,_End#end_time,_End#fixedCost,_End#occurred,_End#resourceCost,_End#start_time,_End@duration,_End@fixedCost,_End@occurred,_End@resourceCost,_Path,1_if_C#duration_>_55.0_then_INSERT_F_(_#duration_?N_(500.0_50.0)_);,_Label
60,0.0,2023-07-03T09:20:00.000+00:00,0.0,1,0.0,2023-07-03T09:20:00.000+00:00,0.0,0.0,1.0,0.0,508.763,2023-07-03T09:28:28.763+00:00,50.0,1,12.01,2023-07-03T09:20:00.000+00:00,508.763,50.0,2.0,12.01,605.904,2023-07-03T09:38:34.667+00:00,50.0,1,14.31,2023-07-03T09:28:28.763+00:00,1620.281747411852,105.0,5.0,27.92,67.711,2023-07-03T09:29:36.474+00:00,5.0,1,1.6,2023-07-03T09:28:28.763+00:00,576.4739999999999,55.0,3.0,13.61,33.985,2023-07-03T09:30:04.446+00:00,0.0,1,0.8,2023-07-03T09:29:30.461+00:00,1654.2667474118518,105.0,6.0,28.720000000000002,493.517,2023-07-03T09:46:48.184+00:00,0.0,1,11.65,2023-07-03T09:38:34.667+00:00,2147.783747411852,105.0,7.0,40.370000000000005,437.9037474118521,2023-07-03T09:36:54.377747+00:00,0.0,1.0,0.0,2023-07-03T09:29:36.474+00:00,1014.377747411852,55.0,4.0,13.61,0.0,2023-07-03T09:46:48.184+00:00,0.0,1,0.0,2023-07-03T09:46:48.184+00:00,2147.783747411852,105.0,8.0,40.370000000000005,"_Start,A,C,F,B,D,E,_End",1,1.0
61,0.0,2023-07-03T09:28:20.000+00:00,0.0,1,0.0,2023-07-03T09:28:20.000+00:00,0.0,0.0,1.0,0.0,513.283,2023-07-03T09:36:53.283+00:00,50.0,1,12.12,2023-07-03T09:28:20.000+00:00,513.283,50.0,2.0,12.12,592.707,2023-07-03T09:46:45.990+00:00,50.0,1,13.99,2023-07-03T09:36:53.283+00:00,1136.0430000000001,105.0,4.0,26.82,30.053,2023-07-03T09:37:23.336+00:00,5.0,1,0.71,2023-07-03T09:36:53.283+00:00,543.336,55.0,3.0,12.829999999999998,68.353,2023-07-03T09:38:31.689+00:00,0.0,1,1.61,2023-07-03T09:37:23.336+00:00,611.689,55.0,5.0,14.439999999999998,493.439,2023-07-03T09:54:59.429+00:00,0.0,1,11.65,2023-07-03T09:46:45.990+00:00,1697.8350000000003,105.0,6.0,40.08,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-07-03T09:54:59.429+00:00,0.0,1,0.0,2023-07-03T09:54:59.429+00:00,1697.8350000000003,105.0,7.0,40.08,"_Start,A,C,B,D,E,_End",0,0.0
62,0.0,2023-07-03T09:36:40.000+00:00,0.0,1,0.0,2023-07-03T09:36:40.000+00:00,0.0,0.0,1.0,0.0,518.707,2023-07-03T09:45:18.707+00:00,50.0,1,12.25,2023-07-03T09:36:40.000+00:00,518.707,50.0,2.0,12.25,596.562,2023-07-03T09:55:15.269+00:00,50.0,1,14.09,2023-07-03T09:45:18.707+00:00,1152.74,105.0,4.0,27.22,37.471,2023-07-03T09:45:56.178+00:00,5.0,1,0.88,2023-07-03T09:45:18.707+00:00,556.178,55.0,3.0,13.13,51.561,2023-07-03T09:46:47.739+00:00,0.0,1,1.22,2023-07-03T09:45:56.178+00:00,607.739,55.0,5.0,14.350000000000001,492.871,2023-07-03T10:03:28.140+00:00,0.0,1,11.64,2023-07-03T09:55:15.269+00:00,1697.172,105.0,6.0,40.08,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-07-03T10:03:28.140+00:00,0.0,1,0.0,2023-07-03T10:03:28.140+00:00,1697.172,105.0,7.0,40.08,"_Start,A,C,B,D,E,_End",0,0.0
25,0.0,2023-06-30T12:28:20.000+00:00,0.0,1,0.0,2023-06-30T12:28:20.000+00:00,0.0,0.0,1.0,0.0,505.2,2023-06-30T12:36:45.200+00:00,50.0,1,11.93,2023-06-30T12:28:20.000+00:00,505.2,50.0,2.0,11.93,584.756,2023-06-30T12:46:29.956+00:00,50.0,1,13.81,2023-06-30T12:36:45.200+00:00,1090.2069999999999,105.0,4.0,25.75,0.251,2023-06-30T12:36:45.451+00:00,5.0,1,0.01,2023-06-30T12:36:45.200+00:00,505.45099999999996,55.0,3.0,11.94,40.932,2023-06-30T12:37:26.383+00:00,0.0,1,0.97,2023-06-30T12:36:45.451+00:00,546.3829999999999,55.0,5.0,12.91,489.378,2023-06-30T12:54:39.334+00:00,0.0,1,11.55,2023-06-30T12:46:29.956+00:00,1620.5169999999998,105.0,6.0,38.269999999999996,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-06-30T12:54:39.334+00:00,0.0,1,0.0,2023-06-30T12:54:39.334+00:00,1620.5169999999998,105.0,7.0,38.269999999999996,"_Start,A,C,B,D,E,_End",0,0.0
140,0.0,2023-07-04T12:26:40.000+00:00,0.0,1,0.0,2023-07-04T12:26:40.000+00:00,0.0,0.0,1.0,0.0,503.126,2023-07-04T12:35:03.126+00:00,50.0,1,11.88,2023-07-04T12:26:40.000+00:00,503.126,50.0,2.0,11.88,597.941,2023-07-04T12:45:01.067+00:00,50.0,1,14.12,2023-07-04T12:35:03.126+00:00,1110.42,105.0,4.0,26.22,9.353,2023-07-04T12:35:12.479+00:00,5.0,1,0.22,2023-07-04T12:35:03.126+00:00,512.4789999999999,55.0,3.0,12.100000000000001,66.741,2023-07-04T12:36:19.220+00:00,0.0,1,1.58,2023-07-04T12:35:12.479+00:00,579.2199999999999,55.0,5.0,13.680000000000001,498.615,2023-07-04T12:53:19.682+00:00,0.0,1,11.77,2023-07-04T12:45:01.067+00:00,1675.776,105.0,6.0,39.56999999999999,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-07-04T12:53:19.682+00:00,0.0,1,0.0,2023-07-04T12:53:19.682+00:00,1675.776,105.0,7.0,39.56999999999999,"_Start,A,C,B,D,E,_End",0,0.0
26,0.0,2023-06-30T12:36:40.000+00:00,0.0,1,0.0,2023-06-30T12:36:40.000+00:00,0.0,0.0,1.0,0.0,491.115,2023-06-30T12:44:51.115+00:00,50.0,1,11.6,2023-06-30T12:36:40.000+00:00,491.115,50.0,2.0,11.6,607.73,2023-06-30T12:54:58.845+00:00,50.0,1,14.35,2023-06-30T12:44:51.115+00:00,1102.923,105.0,4.0,26.049999999999997,4.078,2023-06-30T12:44:55.193+00:00,5.0,1,0.1,2023-06-30T12:44:51.115+00:00,495.193,55.0,3.0,11.7,82.367,2023-06-30T12:46:13.482+00:00,0.0,1,1.94,2023-06-30T12:44:51.115+00:00,577.56,55.0,5.0,13.639999999999999,498.2,2023-06-30T13:03:17.045+00:00,0.0,1,11.76,2023-06-30T12:54:58.845+00:00,1683.49,105.0,6.0,39.75,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-06-30T13:03:17.045+00:00,0.0,1,0.0,2023-06-30T13:03:17.045+00:00,1683.49,105.0,7.0,39.75,"_Start,A,C,B,D,E,_End",0,0.0
69,0.0,2023-07-03T10:35:00.000+00:00,0.0,1,0.0,2023-07-03T10:35:00.000+00:00,0.0,0.0,1.0,0.0,507.731,2023-07-03T10:43:27.731+00:00,50.0,1,11.99,2023-07-03T10:35:00.000+00:00,507.731,50.0,2.0,11.99,624.044,2023-07-03T10:53:51.775+00:00,50.0,1,14.73,2023-07-03T10:43:27.731+00:00,1151.2649999999999,105.0,4.0,27.18,19.49,2023-07-03T10:43:47.221+00:00,5.0,1,0.46,2023-07-03T10:43:27.731+00:00,527.221,55.0,3.0,12.450000000000001,66.581,2023-07-03T10:44:53.802+00:00,0.0,1,1.57,2023-07-03T10:43:47.221+00:00,593.802,55.0,5.0,14.020000000000001,528.44,2023-07-03T11:02:40.215+00:00,0.0,1,12.48,2023-07-03T10:53:51.775+00:00,1746.2859999999998,105.0,6.0,41.230000000000004,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-07-03T11:02:40.215+00:00,0.0,1,0.0,2023-07-03T11:02:40.215+00:00,1746.2859999999998,105.0,7.0,41.230000000000004,"_Start,A,C,B,D,E,_End",0,0.0
141,0.0,2023-07-04T12:35:00.000+00:00,0.0,1,0.0,2023-07-04T12:35:00.000+00:00,0.0,0.0,1.0,0.0,507.383,2023-07-04T12:43:27.383+00:00,50.0,1,11.98,2023-07-04T12:35:00.000+00:00,507.383,50.0,2.0,11.98,605.469,2023-07-04T12:53:32.852+00:00,50.0,1,14.3,2023-07-04T12:43:27.383+00:00,1716.2120991774348,105.0,5.0,28.05,75.062,2023-07-04T12:44:42.445+00:00,5.0,1,1.77,2023-07-04T12:43:27.383+00:00,582.4449999999999,55.0,3.0,13.75,38.329,2023-07-04T12:45:09.774+00:00,0.0,1,0.9,2023-07-04T12:44:31.445+00:00,1754.5410991774347,105.0,6.0,28.95,515.048,2023-07-04T13:02:07.900+00:00,0.0,1,12.16,2023-07-04T12:53:32.852+00:00,2269.589099177435,105.0,7.0,41.11,528.2980991774348,2023-07-04T12:53:30.743099+00:00,0.0,1.0,0.0,2023-07-04T12:44:42.445+00:00,1110.7430991774347,55.0,4.0,13.75,0.0,2023-07-04T13:02:07.900+00:00,0.0,1,0.0,2023-07-04T13:02:07.900+00:00,2269.589099177435,105.0,8.0,41.11,"_Start,A,C,F,B,D,E,_End",1,1.0
27,0.0,2023-06-30T12:45:00.000+00:00,0.0,1,0.0,2023-06-30T12:45:00.000+00:00,0.0,0.0,1.0,0.0,485.475,2023-06-30T12:53:05.475+00:00,50.0,1,11.46,2023-06-30T12:45:00.000+00:00,485.475,50.0,2.0,11.46,605.857,2023-06-30T13:03:11.332+00:00,50.0,1,14.3,2023-06-30T12:53:05.475+00:00,1729.8214077487296,105.0,5.0,28.970000000000002,135.773,2023-06-30T12:55:21.248+00:00,5.0,1,3.21,2023-06-30T12:53:05.475+00:00,621.248,55.0,3.0,14.670000000000002,19.162,2023-06-30T12:53:24.637+00:00,0.0,1,0.45,2023-06-30T12:53:05.475+00:00,1748.9834077487296,105.0,6.0,29.42,489.925,2023-06-30T13:11:53.889408+00:00,0.0,1,11.57,2023-06-30T13:03:43.964408+00:00,2238.9084077487296,105.0,7.0,40.99,502.71640774872947,2023-06-30T13:03:43.964408+00:00,0.0,1.0,0.0,2023-06-30T12:55:21.248+00:00,1123.9644077487296,55.0,4.0,14.670000000000002,0.0,2023-06-30T13:11:53.889408+00:00,0.0,1,0.0,2023-06-30T13:11:53.889408+00:00,2238.9084077487296,105.0,8.0,40.99,"_Start,A,C,F,B,D,E,_End",1,1.0
29,0.0,2023-06-30T13:01:40.000+00:00,0.0,1,0.0,2023-06-30T13:01:40.000+00:00,0.0,0.0,1.0,0.0,475.054,2023-06-30T13:09:35.054+00:00,50.0,1,11.22,2023-06-30T13:01:40.000+00:00,475.054,50.0,2.0,11.22,597.114,2023-06-30T13:19:32.168+00:00,50.0,1,14.1,2023-06-30T13:09:35.054+00:00,1079.159,105.0,4.0,25.490000000000002,6.991,2023-06-30T13:09:42.045+00:00,5.0,1,0.17,2023-06-30T13:09:35.054+00:00,482.04499999999996,55.0,3.0,11.39,96.698,2023-06-30T13:11:11.752+00:00,0.0,1,2.28,2023-06-30T13:09:35.054+00:00,578.7429999999999,55.0,5.0,13.67,478.309,2023-06-30T13:27:41.758+00:00,0.0,1,11.29,2023-06-30T13:19:43.449+00:00,1654.1660000000002,105.0,6.0,39.06,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2023-06-30T13:27:41.758+00:00,0.0,1,0.0,2023-06-30T13:27:41.758+00:00,1654.1660000000002,105.0,7.0,39.06,"_Start,A,C,B,D,E,_End",0,0.0
